SITE_ID,VISIT_NO,DEPTH,TEMPERATURE,OXYGEN,PH,DENSITY,INDEX_SITE_DEPTH
NLA12_CO-102,1.0,12.0,5.0,0.2,6.6,999.991884245,14.0
NLA12_CO-103,1.0,4.5,20.5,6.8,8.1,998.129184787,5.0
NLA12_CO-104,1.0,6.2,18.7,0.1,8.3,998.492826488,6.7
NLA12_CO-105,1.0,3.9,19.6,1.7,9.1,998.315304407,4.4
NLA12_CO-106,1.0,6.7,20.0,0.7,7.2,998.23363614,7.2
NLA12_CO-107,1.0,15.9,6.4,3.6,7.6,999.954636707,16.4
NLA12_CO-108,1.0,4.5,14.9,6.7,8.7,999.143552986,4.9
NLA12_CO-109,1.0,12.0,8.0,0.2,6.5,999.876533402,12.5
NLA12_CO-110,1.0,3.5,17.0,6.8,8.0,998.804081136,4.0
NLA12_CO-111,1.0,5.5,19.2,5.3,7.5,998.395274484,6.0
NLA12_CO-114,1.0,5.0,8.4,5.6,7.0,999.85127841,5.1
NLA12_CO-115,1.0,3.5,17.8,5.8,7.8,998.661580905,3.3
NLA12_CO-117,1.0,4.5,19.4,0.1,8.1,998.355502635,5.0
NLA12_CO-119,1.0,30.0,4.7,5.0,6.6,999.995964631,30.0
NLA12_CO-121,1.0,2.5,16.5,5.7,8.0,998.889497429,3.1
NLA12_CO-124,1.0,4.5,16.8,0.0,7.3,998.838586815,4.8
NLA12_CO-125,1.0,6.0,13.1,5.6,7.5,999.393146184,6.5
NLA12_CO-127,1.0,4.8,21.7,6.3,9.7,997.867932624,5.3
NLA12_CO-129,1.0,1.6,23.0,0.1,7.4,997.568415787,2.1
NLA12_CO-130,1.0,5.0,11.0,0.1,7.8,999.633617872,5.8
NLA12_CO-131,1.0,7.0,16.0,4.3,7.9,998.972069844,7.6
NLA12_CO-131,2.0,7.1,16.4,4.9,8.6,998.906240479,7.6
NLA12_CO-133,1.0,1.9,13.3,7.3,8.3,999.36735714,2.4
