SITE_ID,VISIT_NO,thermocline_depth,buoyancy_frequency
NLA12_CO-121,1.0,2.25,0.000664447950877
NLA12_CO-124,1.0,4.25,0.00910273817281
NLA12_CO-125,1.0,1.7059144392,0.000563582686042
NLA12_CO-127,1.0,1.8,0.000220573907864
NLA12_CO-129,1.0,1.45023325236,0.00236375151577
NLA12_CO-130,1.0,2.73899365784,0.0003185301192
NLA12_CO-131,1.0,5.83878407726,0.00137336603407
NLA12_CO-131,2.0,0.75,0.000342227835977
NLA12_CO-133,1.0,1.21124199274,0.00144234417755
NLA12_CO-R01,1.0,7.65854718186,0.0028427141166
NLA12_CO-R04,1.0,6.53963259747,0.00174757103837
NLA12_CO-R07,1.0,2.525,0.00606605300909
NLA12_CO-R10,1.0,5.42843116818,0.00509551688303
NLA12_CT-101,1.0,0.25,0.00299370531301
NLA12_CT-101,2.0,0.5,-0.0
NLA12_CT-102,1.0,5.73318001407,0.00774095301939
NLA12_CT-103,1.0,4.75351442778,0.0110491468245
NLA12_CT-104,1.0,2.32696053702,0.0101561438547
NLA12_CT-105,1.0,0.5,0.00135094041041
NLA12_CT-107,1.0,2.88013241435,0.0210968392196
NLA12_CT-108,1.0,0.5,0.000526715029552
NLA12_CT-115,1.0,6.25,0.00539659175749
NLA12_CT-115,2.0,6.25,0.000989708409385
NLA12_CT-118,1.0,4.8825329361,0.0107491463023
NLA12_CT-126,1.0,2.41176470588,0.000257320183031
NLA12_DE-101,1.0,0.25,0.00234738298502
NLA12_DE-101,2.0,0.25,0.000443150591135
NLA12_DE-102,1.0,0.65,0.000842103754279
NLA12_DE-103,1.0,1.1,0.0160238436972
NLA12_DE-104,1.0,0.827585981979,0.0086321469658
NLA12_DE-105,1.0,1.7,0.00748223801881
NLA12_DE-105,2.0,0.619879889423,0.00169589712946
NLA12_DE-107,1.0,0.25,0.00228539305597
NLA12_DE-121,1.0,0.25,0.00520963028504
NLA12_FL-101,1.0,0.625,0.00489184491588
NLA12_FL-101,2.0,0.5,-0.0
NLA12_FL-102,1.0,1.16460895537,0.00134026967178
NLA12_FL-102,2.0,0.99631777554,0.00122032714677
NLA12_FL-103,1.0,0.75,0.00119626323306
NLA12_FL-104,1.0,2.61923303087,0.00786460317445
NLA12_FL-105,1.0,0.5,0.00132826872885
NLA12_FL-106,1.0,0.25,0.00162689705713
NLA12_FL-107,1.0,0.5,0.00176708735729
NLA12_FL-108,1.0,1.33268478407,0.000295159365239
NLA12_FL-109,1.0,0.25,0.00149401965245
NLA12_FL-110,1.0,0.749522459885,0.00564848829984
NLA12_FL-110,2.0,0.799335223617,0.00122032714677
NLA12_FL-114,1.0,6.05,0.00685605745501
NLA12_FL-123,1.0,,
NLA12_FL-123,2.0,7.69688130479,0.00699170393361
NLA12_FL-126,1.0,0.3,0.00224626484728
NLA12_FL-130,1.0,0.25,0.0132275378323
NLA12_FL-132,1.0,0.25,-0.0
NLA12_FL-141,1.0,0.55,0.00611871870227
NLA12_FL-R04,1.0,0.3,0.000729168791613
NLA12_FL-R06,1.0,0.25,0.0018030393812
NLA12_GA-101,1.0,0.25,0.0022392450785
NLA12_GA-101,2.0,0.833161257745,0.00113670579098
NLA12_GA-102,1.0,0.2,0.000780376372411
NLA12_GA-103,1.0,3.15,0.0089153612569
NLA12_GA-104,1.0,8.421568753,0.00386651131487
NLA12_GA-105,1.0,6.49266292781,0.00524991802479
NLA12_GA-107,1.0,1.13217647906,0.0047617602363
NLA12_GA-111,1.0,2.45,0.00167971506782
NLA12_GA-112,1.0,3.46576522358,0.00766674683174
NLA12_GA-112,2.0,3.5,0.000598355136792
NLA12_GA-114,1.0,0.25,0.00504692855036
NLA12_GA-118,1.0,6.36071777949,0.00743244335936
NLA12_GA-127,1.0,0.729661562223,0.0132000505494
NLA12_GA-R01,1.0,3.87869619775,0.012950441912
NLA12_GA-R11,1.0,1.16593919127,0.00357652673132
NLA12_IA-101,1.0,0.5,0.000216040495328
NLA12_IA-101,2.0,6.3,0.0044815057895
NLA12_IA-102,1.0,1.1,0.00140974152325
NLA12_IA-103,1.0,4.85965388706,0.00875716370814
NLA12_IA-104,1.0,3.71264126455,0.00920502442482
NLA12_IA-105,1.0,1.72222222222,4.7321206755e-05
NLA12_IA-106,1.0,1.49864179524,0.00128198726104
NLA12_IA-107,1.0,0.780228625764,0.00501422219839
NLA12_IA-109,1.0,0.684177019076,0.015214970446
NLA12_IA-113,1.0,8.76808933695,0.00737766081409
NLA12_IA-120,1.0,0.25,-0.0
NLA12_IA-120,2.0,0.5,0.00400382948078
NLA12_IA-127,1.0,6.25,0.00601906138997
NLA12_IA-132,1.0,1.35,0.00143760364362
NLA12_IA-134,1.0,2.2,0.00068239666008
NLA12_IA-150,1.0,3.48928709902,0.0112446776658
NLA12_IA-152,1.0,0.5,-0.0
NLA12_IA-R01,1.0,4.3,0.00166221378644
NLA12_IA-R02,1.0,0.5,0.00296284296381
NLA12_IA-R03,1.0,4.62069855995,0.014259582369
NLA12_ID-101,1.0,3.5,0.0027583085668
NLA12_ID-101,2.0,3.5,0.002674042863
NLA12_ID-102,1.0,1.565,0.0147114437456
NLA12_ID-103,1.0,2.6936987383,0.0105018030559
NLA12_ID-104,1.0,0.505,0.00125860543901
NLA12_ID-105,1.0,2.135,0.0118610981289
NLA12_ID-107,1.0,2.5168291062,0.00200899863677
