,NLA12_ID,AreaSqKM,time
179,NLA12_CT-108,4.152761,
180,NLA12_CT-113,0.2088,
181,NLA12_CT-115,7.4304,
182,NLA12_CT-116,8.423713,
183,NLA12_CT-118,3.013523,
184,NLA12_CT-120,1.335099,
185,NLA12_CT-126,1.656796,
186,NLA12_CT-127,9.32355,
187,NLA12_DE-101,24.427013,
188,NLA12_DE-102,53.44019,
189,NLA12_DE-103,153.713862,
190,NLA12_DE-104,188.553002,
191,NLA12_DE-105,26.766043,
192,NLA12_DE-107,45.233751,
193,NLA12_DE-121,36.784407,
194,NLA12_FL-101,13104.2238,
195,NLA12_FL-102,18.2394,
196,NLA12_FL-103,361.074229,
197,NLA12_FL-104,8.917581,
198,NLA12_FL-105,2131.695389,
199,NLA12_FL-106,3.6207,
200,NLA12_FL-107,1.4121,
201,NLA12_FL-108,4450.786748,
202,NLA12_FL-109,6800.33547,
203,NLA12_FL-110,0.1584,
204,NLA12_FL-114,0.153,
205,NLA12_FL-119,1.2474,
206,NLA12_FL-123,5.044816,
207,NLA12_FL-126,2642.396237,
208,NLA12_FL-130,401.888773,
209,NLA12_FL-132,68.5755,
210,NLA12_FL-135,0.7281,
211,NLA12_FL-141,2.6073,
212,NLA12_FL-R04,77.7681,
213,NLA12_FL-R06,29.173591,
214,NLA12_GA-101,2.493,
215,NLA12_GA-102,1.893794,
216,NLA12_GA-103,27.909618,
217,NLA12_GA-104,2895.671671,
218,NLA12_GA-105,600.208693,
219,NLA12_GA-107,2.427589,
220,NLA12_GA-111,0.413091,
221,NLA12_GA-112,1.3122,
222,NLA12_GA-114,2.725829,
223,NLA12_GA-116,7.279892,
224,NLA12_GA-118,3.423489,
225,NLA12_GA-119,47.052845,
226,NLA12_GA-120,5.41172,
227,NLA12_GA-122,0.3933,
228,NLA12_GA-123,21.695982,
229,NLA12_GA-124,0.820754,
230,NLA12_GA-125,0.6165,
231,NLA12_GA-126,0.9648,
232,NLA12_GA-127,765.041686,
233,NLA12_GA-R01,0.768518,
234,NLA12_GA-R11,1198.499872,
235,NLA12_IA-101,34.781515,
236,NLA12_IA-102,1.3923,
237,NLA12_IA-103,0.2871,
238,NLA12_IA-104,13.342067,
239,NLA12_IA-105,10.3293,
240,NLA12_IA-106,46.113712,
241,NLA12_IA-107,12.887897,
242,NLA12_IA-109,6.954499,
243,NLA12_IA-113,15.229659,
244,NLA12_IA-120,72.317532,
245,NLA12_IA-123,16.998416,
